14;5;2023;szczupak;Nowak;1;1.5;61
12;6;2023;szczupak;Wilk;2;1.1;54
1;8;2023;leszcz;Berg;3;1.7;53
12;5;2023;karp;Piech;4;2.5;50
14;3;2023;płoć;Nowak;1;0.35;32
17;10;2023;sandacz;Berg;3;4.1;77
21;4;2023;karp;Nowak;1;1.1;43
22;9;2023;sandacz;Wilk;2;1.3;51
11;11;2023;szczupak;Nowak;1;2.3;65
22;5;2023;szczupak;Nowak;1;3.1;77
11;8;2023;leszcz;Wilk;2;1.8;50
12;6;2023;karp;Berg;3;1.9;48
23;9;2023;szczupak;Piech;4;1.7;61
14;3;2023;płoć;Nowak;1;0.15;20
27;11;2023;miętus;Wilk;2;0.5;41
18;6;2023;sandacz;Nowak;1;3.6;74
31;7;2023;sandacz;Wilk;2;1.7;57
2;12;2024;szczupak;Nowak;1;1.7;61
3;6;2024;karp;Berg;3;8.1;75
22;9;2024;szczupak;Nowak;1;4.5;82
4;5;2024;leszcz;Wilk;2;2.8;62
23;7;2024;karp;Berg;3;1.2;42
21;9;2024;szczupak;Piech;4;2.7;71
12;4;2024;płoć;Nowak;1;0.5;34
11;8;2024;sandacz;Berg;3;1.2;53
21;7;2024;karp;Nowak;1;2.4;51
4;5;2025;szczupak;Nowak;1;1.5;59
10;6;2025;szczupak;Wilk;2;1.2;55
14;8;2025;leszcz;Berg;3;1.3;51
1;5;2025;karp;Piech;4;5.5;70
14;3;2025;płoć;Nowak;1;0.2;25
18;10;2025;sandacz;Berg;3;2.5;65
24;4;2025;karp;Nowak;1;1.8;48
20;6;2025;sandacz;Wilk;2;1.9;60
1;11;2025;szczupak;Nowak;1;1.3;55
30;8;2025;karp;Berg;3;4.8;64
26;5;2025;szczupak;Nowak;1;2.1;65
10;8;2025;leszcz;Wilk;2;0.8;41
13;6;2025;karp;Berg;3;2.9;53
29;9;2025;szczupak;Piech;4;1.7;61
4;3;2025;płoć;Nowak;1;0.25;30
17;11;2025;miętus;Wilk;2;0.4;39
11;6;2025;sandacz;Nowak;1;3.2;70
31;8;2025;sandacz;Wilk;2;1.8;59
28;4;2025;leszcz;Berg;3;2.1;54
14;5;2025;karp;Piech;4;7.5;75
4;7;2025;leszcz;Wilk;2;1.1;47
